From	Entry	Entry Name	Protein names	Gene Names	Reviewed
8784	Q9Y5U5	TNR18_HUMAN	Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357)	TNFRSF18 AITR GITR UNQ319/PRO364	reviewed
8784	A0A0R7FDM1	A0A0R7FDM1_HUMAN	Tumor necrosis factor receptor superfamily member 18 isoform 4	TNFRSF18	unreviewed
7293	P43489	TNR4_HUMAN	Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134)	TNFRSF4 TXGP1L	reviewed
7293	A0A8V8TQH5	A0A8V8TQH5_HUMAN	Tumor necrosis factor receptor superfamily member 4 (OX40L receptor)	TNFRSF4	unreviewed
51150	Q9BRK5	CAB45_HUMAN	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	SDF4 CAB45 PSEC0034	reviewed
51150	A0A5F9UJX7	A0A5F9UJX7_HUMAN	45 kDa calcium-binding protein (Stromal cell-derived factor 4)	SDF4	unreviewed
126792	Q96L58	B3GT6_HUMAN	Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)	B3GALT6	reviewed
388581	Q5T7M4	ADIPL_HUMAN	Adipolin (Adipose-derived insulin-sensitizing factor) (C1q and TNF related protein 12) (Complement C1q tumor necrosis factor-related protein 12) [Cleaved into: Adipolin fC1QTNF12 (Adipolin fCTRP12) (Adipolin full-length form); Adipolin gC1QTNF12 (Adipolin cleaved form) (Adipolin gCTRP12)]	C1QTNF12 C1QDC2 CTRP12 FAM132A	reviewed
118424	Q8N2K1	UB2J2_HUMAN	Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2)	UBE2J2 NCUBE2	reviewed
118424	A6NGS0	A6NGS0_HUMAN	Ubiquitin conjugating enzyme E2 J2 (Ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast), isoform CRA_e)	UBE2J2 hCG_20420	unreviewed
6339	P51172	SCNND_HUMAN	Epithelial sodium channel subunit delta (Delta-ENaC) (ENaCD) (Epithelial Na(+) channel subunit delta) (Amiloride-sensitive sodium channel subunit delta) (Delta-NaCH) (Nonvoltage-gated sodium channel 1 subunit delta) (SCNED)	SCNN1D DNACH	reviewed
116983	Q96P50	ACAP3_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 (Centaurin-beta-5) (Cnt-b5)	ACAP3 CENTB5 KIAA1716	reviewed
116983	Q8WTZ1	Q8WTZ1_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein (Cnt-b) (Centaurin-beta)	ACAP3	unreviewed
126789	Q8N0Z8	PUSL1_HUMAN	tRNA pseudouridine synthase-like 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase-like 1) (tRNA-uridine isomerase-like 1)	PUSL1	reviewed
54973	Q5TA45	INT11_HUMAN	Integrator complex subunit 11 (Int11) (EC 3.1.27.-) (Cleavage and polyadenylation-specific factor 3-like protein) (CPSF3-like protein) (Protein related to CPSF subunits of 68 kDa) (RC-68)	INTS11 CPSF3L RC68	reviewed
54973	A0A087WYI0	A0A087WYI0_HUMAN	Integrator complex subunit 11	INTS11	unreviewed
80772	Q5TA50	CPTP_HUMAN	Ceramide-1-phosphate transfer protein (CPTP) (Glycolipid transfer protein domain-containing protein 1) (GLTP domain-containing protein 1)	CPTP GLTPD1	reviewed
80772	S4S694	S4S694_HUMAN	Ceramide-1-phosphate transfer protein (Glycolipid transfer protein domain-containing protein 1)	GLTPD1	unreviewed
83756	Q7RTX0	TS1R3_HUMAN	Taste receptor type 1 member 3 (Sweet taste receptor T1R3)	TAS1R3 T1R3 TR3	reviewed
1855	O14640	DVL1_HUMAN	Segment polarity protein dishevelled homolog DVL-1 (Dishevelled-1) (DSH homolog 1)	DVL1	reviewed
54587	Q9BRK3	MXRA8_HUMAN	Matrix remodeling-associated protein 8 (Limitrin)	MXRA8	reviewed
54998	Q9NWT8	AKIP_HUMAN	Small ribosomal subunit protein mS38 (28S ribosomal protein S38, mitochondrial) (MRP-S38) (Aurora kinase A-interacting protein) (AURKA-interacting protein)	AURKAIP1 AIP AKIP MRPS38	reviewed
81669	Q96S94	CCNL2_HUMAN	Cyclin-L2 (Paneth cell-enhanced expression protein)	CCNL2 SB138	reviewed
55052	Q9BYC9	RM20_HUMAN	Large ribosomal subunit protein bL20m (39S ribosomal protein L20, mitochondrial) (L20mt) (MRP-L20)	MRPL20	reviewed
441869	E5RJM6	ANR65_HUMAN	Ankyrin repeat domain-containing protein 65	ANKRD65	reviewed
643965	A6NKF7	TM278_HUMAN	Transmembrane protein 278 (Transmembrane protein 88B)	TMEM278 TMEM88B	reviewed
64856	Q6PCB0	VWA1_HUMAN	von Willebrand factor A domain-containing protein 1	VWA1	reviewed
219293	Q5T2N8	ATD3C_HUMAN	ATPase family AAA domain-containing protein 3C	ATAD3C	reviewed
83858	Q5T9A4	ATD3B_HUMAN	ATPase family AAA domain-containing protein 3B (AAA-TOB3)	ATAD3B KIAA1273 TOB3	reviewed
83858	Q9H834	Q9H834_HUMAN	cDNA FLJ13966 fis, clone Y79AA1001394, weakly similar to CELL DIVISION PROTEIN FTSH HOMOLOG		unreviewed
55210	Q9NVI7	ATD3A_HUMAN	ATPase family AAA domain-containing protein 3A (EC 3.6.1.-)	ATAD3A	reviewed
643988	F2Z333	FND10_HUMAN	Fibronectin type III domain-containing protein 10	FNDC10 C1orf233	reviewed
142678	Q96AX9	MIB2_HUMAN	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (Novel zinc finger protein) (Novelzin) (Putative NF-kappa-B-activating protein 002N) (RING-type E3 ubiquitin transferase MIB2) (Skeletrophin) (Zinc finger ZZ type with ankyrin repeat domain protein 1)	MIB2 SKD ZZANK1	reviewed
142678	A0A8C8N694	A0A8C8N694_HUMAN	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (RING-type E3 ubiquitin transferase MIB2)	MIB2	unreviewed
142678	A0A8C8USR6	A0A8C8USR6_HUMAN	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (RING-type E3 ubiquitin transferase MIB2)	MIB2	unreviewed
142678	E9PD12	E9PD12_HUMAN	E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (RING-type E3 ubiquitin transferase MIB2)	MIB2	unreviewed
8510	O75900	MMP23_HUMAN	Matrix metalloproteinase-23 (MMP-23) (EC 3.4.24.-) (Femalysin) (MIFR-1) (Matrix metalloproteinase-21) (MMP-21) (Matrix metalloproteinase-22) (MMP-22) [Cleaved into: Matrix metalloproteinase-23, soluble form]	MMP23B MMP21 MMP22	reviewed
984	P21127	CD11B_HUMAN	Cyclin-dependent kinase 11B (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 1) (CLK-1) (Cell division protein kinase 11B) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L1) (p58 CLK-1)	CDK11B CDC2L1 CDK11 PITSLREA PK58	reviewed
984	B4DII1	B4DII1_HUMAN	cDNA FLJ59025, moderately similar to PITSLRE serine/threonine-protein kinaseCDC2L1		unreviewed
728661	P0CK96	S352B_HUMAN	Solute carrier family 35 member E2B	SLC35E2B KIAA0447	reviewed
728642	Q9UQ88	CD11A_HUMAN	Cyclin-dependent kinase 11A (EC 2.7.11.22) (Cell division cycle 2-like protein kinase 2) (Cell division protein kinase 11A) (Galactosyltransferase-associated protein kinase p58/GTA) (PITSLRE serine/threonine-protein kinase CDC2L2)	CDK11A CDC2L2 CDC2L3 PITSLREB	reviewed
728642	Q4VBY6	Q4VBY6_HUMAN	cyclin-dependent kinase (EC 2.7.11.22) (Galactosyltransferase-associated protein kinase p58/GTA)	CDC2L2	unreviewed
728642	Q5QPR3	Q5QPR3_HUMAN	cyclin-dependent kinase (EC 2.7.11.22) (Galactosyltransferase-associated protein kinase p58/GTA)	CDK11A	unreviewed
65220	O95544	NADK_HUMAN	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	reviewed
65220	A0A0A0MR98	A0A0A0MR98_HUMAN	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	unreviewed
2782	P62873	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	reviewed
2782	A0A140VJJ8	A0A140VJJ8_HUMAN	Testicular tissue protein Li 72		unreviewed
2782	B3KVK2	B3KVK2_HUMAN	G protein subunit beta 1 (cDNA FLJ16663 fis, clone THYMU2005759, highly similar to Guanine nucleotide-binding proteinG(I)/G(S)/G(T) subunit beta 1)	GNB1	unreviewed
2782	F6X3N5	F6X3N5_HUMAN	G protein subunit beta 1	GNB1	unreviewed
163688	Q8TD86	CALL6_HUMAN	Calmodulin-like protein 6 (Calglandulin-like protein)	CALML6 CAGLP CALGP	reviewed
163688	B1AKR1	B1AKR1_HUMAN	Calmodulin like 6 (Calmodulin-like 6, isoform CRA_a)	CALML6 hCG_23465	unreviewed
339456	Q8NDY8	TMM52_HUMAN	Transmembrane protein 52	TMEM52 UNQ3048/PRO9864	reviewed
85452	Q9C0B2	CFA74_HUMAN	Cilia- and flagella-associated protein 74	CFAP74 C1orf222 KIAA1751	reviewed
85452	A0A804HLA9	A0A804HLA9_HUMAN	Cilia- and flagella-associated protein 74	CFAP74	unreviewed
2563	O14764	GBRD_HUMAN	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta) (GABAAR subunit delta)	GABRD	reviewed
2563	A8K496	A8K496_HUMAN	Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta)		unreviewed
5590	Q05513	KPCZ_HUMAN	Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta)	PRKCZ PKC2	reviewed
199990	Q6NZ36	FAP20_HUMAN	Fanconi anemia core complex-associated protein 20 (FANCA-associated protein of 20 kDa) (Fanconi anemia-associated protein of 20 kDa)	FAAP20 C1orf86 FP7162	reviewed
199990	F6S8H2	F6S8H2_HUMAN	FA core complex associated protein 20	FAAP20	unreviewed
199990	Q6ZRT9	Q6ZRT9_HUMAN	cDNA FLJ46112 fis, clone TESTI2035962		unreviewed
199990	Q7Z4P6	Q7Z4P6_HUMAN	Uncharacterized protein		unreviewed
6497	P12755	SKI_HUMAN	Ski oncogene (Proto-oncogene c-Ski)	SKI	reviewed
79906	Q5T089	MORN1_HUMAN	MORN repeat-containing protein 1	MORN1	reviewed
11079	O15258	RER1_HUMAN	Protein RER1	RER1	reviewed
11079	Q5T094	Q5T094_HUMAN	Protein RER1	RER1 hCG_24604	unreviewed
5192	O60683	PEX10_HUMAN	Peroxisome biogenesis factor 10 (EC 2.3.2.27) (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69)	PEX10 RNF69	reviewed
5192	D6RA89	D6RA89_HUMAN	RING-type E3 ubiquitin transferase (EC 2.3.2.27)	PEX10	unreviewed
9651	O75038	PLCH2_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)	PLCH2 KIAA0450 PLCL4	reviewed
55229	Q9NVE7	PANK4_HUMAN	4'-phosphopantetheine phosphatase (EC 3.1.3.-) (Inactive pantothenic acid kinase 4) (hPanK4)	PANK4	reviewed
388585	Q5TA89	HES5_HUMAN	Transcription factor HES-5 (Class B basic helix-loop-helix protein 38) (bHLHb38) (Hairy and enhancer of split 5)	HES5 BHLHB38	reviewed
8764	Q92956	TNR14_HUMAN	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)	TNFRSF14 HVEA HVEM UNQ329/PRO509	reviewed
8764	B9A034	B9A034_HUMAN	TNF receptor superfamily member 14	TNFRSF14	unreviewed
127281	Q8TBF2	PXL2B_HUMAN	Prostamide/prostaglandin F synthase (Prostamide/PG F synthase) (Prostamide/PGF synthase) (EC 1.11.1.20) (Peroxiredoxin-like 2B) (Protein FAM213B)	PRXL2B C1orf93 FAM213B	reviewed
127281	A0A0A0MRV4	A0A0A0MRV4_HUMAN	Prostamide/prostaglandin F synthase (EC 1.11.1.20) (Peroxiredoxin-like 2B)	PRXL2B	unreviewed
127281	A0A0A0MT35	A0A0A0MT35_HUMAN	Prostamide/prostaglandin F synthase (EC 1.11.1.20) (Peroxiredoxin-like 2B)	PRXL2B	unreviewed
127281	A0A2P0CTB1	A0A2P0CTB1_HUMAN	Prostamide/prostaglandin F synthase (EC 1.11.1.20) (Peroxiredoxin-like 2B)	PRXL2B	unreviewed
127281	A0A2P0CU24	A0A2P0CU24_HUMAN	Prostamide/prostaglandin F synthase (EC 1.11.1.20) (Peroxiredoxin-like 2B)	PRXL2B	unreviewed
127281	J3KPF5	J3KPF5_HUMAN	Prostamide/prostaglandin F synthase (EC 1.11.1.20) (Peroxiredoxin-like 2B)	PRXL2B	unreviewed
79258	Q495T6	MMEL1_HUMAN	Membrane metallo-endopeptidase-like 1 (EC 3.4.24.11) (Membrane metallo-endopeptidase-like 2) (NEP2(m)) (Neprilysin II) (NEPII) (Neprilysin-2) (NEP2) (NL2) [Cleaved into: Membrane metallo-endopeptidase-like 1, soluble form (Neprilysin-2 secreted) (NEP2(s))]	MMEL1 MELL1 MMEL2 NEP2	reviewed
79258	B3KS82	B3KS82_HUMAN	cDNA FLJ35739 fis, clone TESTI2003824, highly similar to Homo sapiens mel transforming oncogene-like 1 (MELL1), mRNA		unreviewed
100287898	A8MYJ7	TTC34_HUMAN	Tetratricopeptide repeat protein 34 (TPR repeat protein 34)	TTC34	reviewed
100287898	A0A1C7CYW7	A0A1C7CYW7_HUMAN	Tetratricopeptide repeat domain 34	TTC34	unreviewed
140625	Q8TDY3	ACTT2_HUMAN	Actin-related protein T2 (ARP-T2) (Actin-related protein M2)	ACTRT2 ARPM2	reviewed
140625	Q96LK1	Q96LK1_HUMAN	cDNA FLJ25424 fis, clone TST04169		unreviewed
63976	Q9HAZ2	PRD16_HUMAN	Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.367) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)	PRDM16 KIAA1675 MEL1 PFM13	reviewed
27237	Q5VV41	ARHGG_HUMAN	Rho guanine nucleotide exchange factor 16 (Ephexin-4)	ARHGEF16 EPHEXIN4 NBR	reviewed
27237	B3KTS4	B3KTS4_HUMAN	cDNA FLJ38665 fis, clone HLUNG2003378, highly similar to Rho guanine nucleotide exchange factor 16		unreviewed
1953	O75095	MEGF6_HUMAN	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	MEGF6 EGFL3 KIAA0815	reviewed
1953	A0A8V8TL19	A0A8V8TL19_HUMAN	Multiple epidermal growth factor-like domains protein 6 (Epidermal growth factor-like protein 3)	MEGF6	unreviewed
127262	Q5T0D9	TPRGL_HUMAN	Tumor protein p63-regulated gene 1-like protein (Mossy fiber terminal-associated vertebrate-specific presynaptic protein) (Protein FAM79A)	TPRG1L FAM79A MOVER	reviewed
49856	Q9P2S5	WRP73_HUMAN	WD repeat-containing protein WRAP73 (WD repeat-containing protein 8) (WD repeat-containing protein antisense to TP73 gene)	WRAP73 WDR8	reviewed
49856	A0A384MQZ3	A0A384MQZ3_HUMAN	WD repeat-containing protein WRAP73 (WD repeat-containing protein 8) (WD repeat-containing protein antisense to TP73 gene)	WDR8 hCG_20082	unreviewed
7161	O15350	P73_HUMAN	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	reviewed
7161	A0A0C4DFW9	A0A0C4DFW9_HUMAN	Cellular tumor antigen p53	TP73 hCG_19088	unreviewed
148870	Q2M243	CCD27_HUMAN	Coiled-coil domain-containing protein 27	CCDC27	reviewed
57470	Q8N1G4	LRC47_HUMAN	Leucine-rich repeat-containing protein 47	LRRC47 KIAA1185	reviewed
9731	O60308	CE104_HUMAN	Centrosomal protein of 104 kDa (Cep104)	CEP104 KIAA0562	reviewed
1677	O76075	DFFB_HUMAN	DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (Caspase-activated nuclease) (CPAN) (DNA fragmentation factor 40 kDa subunit) (DFF-40)	DFFB CAD DFF2 DFF40	reviewed
1677	B4DZS0	B4DZS0_HUMAN	DNA fragmentation factor subunit beta (Caspase-activated deoxyribonuclease) (DNA fragmentation factor 40 kDa subunit)	DFFB	unreviewed
1677	Q96P72	Q96P72_HUMAN	DNA fragmentation factor subunit beta (Caspase-activated deoxyribonuclease) (DNA fragmentation factor 40 kDa subunit)	DFFB	unreviewed
1677	Q96P73	Q96P73_HUMAN	DNA fragmentation factor subunit beta (Caspase-activated deoxyribonuclease) (DNA fragmentation factor 40 kDa subunit)	DFFB hCG_31570	unreviewed
1677	Q96P74	Q96P74_HUMAN	DNA fragmentation factor subunit beta (Caspase-activated deoxyribonuclease) (DNA fragmentation factor 40 kDa subunit)	DFFB	unreviewed
339448	Q8IYL3	CA174_HUMAN	UPF0688 protein C1orf174	C1orf174	reviewed
339448	A0A7P0TAC3	A0A7P0TAC3_HUMAN	Chromosome 1 open reading frame 174	C1orf174	unreviewed
55966	Q9UKB5	AJAP1_HUMAN	Adherens junction-associated protein 1 (Membrane protein shrew-1)	AJAP1 MOT8 SHREW1	reviewed
261734	O75161	NPHP4_HUMAN	Nephrocystin-4 (Nephroretinin)	NPHP4 KIAA0673	reviewed
261734	B3KW36	B3KW36_HUMAN	cDNA FLJ42080 fis, clone SYNOV4000249, highly similar to Nephrocystin-4		unreviewed
8514	Q13303	KCAB2_HUMAN	Voltage-gated potassium channel subunit beta-2 (EC 1.1.1.-) (K(+) channel subunit beta-2) (Kv-beta-2) (hKvbeta2)	KCNAB2 KCNA2B KCNK2	reviewed
8514	B2R776	B2R776_HUMAN	Voltage-gated potassium channel subunit beta-2 (K(+) channel subunit beta-2) (Kv-beta-2)		unreviewed
26038	Q8TDI0	CHD5_HUMAN	Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.-) (ATP-dependent helicase CHD5)	CHD5 KIAA0444	reviewed
6146	P35268	RL22_HUMAN	Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15)	RPL22	reviewed
388591	Q6ZRF8	RN207_HUMAN	RING finger protein 207	RNF207 C1orf188	reviewed
23463	O60725	ICMT_HUMAN	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	ICMT PCCMT	reviewed
23463	B3KS61	B3KS61_HUMAN	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100)		unreviewed
23463	Q7Z750	Q7Z750_HUMAN	Isoprenylcysteine carboxyl methyltransferase	ICMT	unreviewed
390992	Q5TGS1	HES3_HUMAN	Transcription factor HES-3 (Class B basic helix-loop-helix protein 43) (bHLHb43) (Hairy and enhancer of split 3)	HES3 BHLHB43	reviewed
387509	Q6NV75	GP153_HUMAN	Probable G-protein coupled receptor 153 (G-protein coupled receptor PGR1)	GPR153 PGR1	reviewed
387509	A0A0I9QQ03	A0A0I9QQ03_HUMAN	G protein-coupled receptor 153	GPR153 hCG_2039173	unreviewed
11332	O00154	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	reviewed
83715	B1AK53	ESPN_HUMAN	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	ESPN DFNB36 LP2654	reviewed
8718	Q93038	TNR25_HUMAN	Tumor necrosis factor receptor superfamily member 25 (Apo-3) (Apoptosis-inducing receptor AIR) (Apoptosis-mediating receptor DR3) (Apoptosis-mediating receptor TRAMP) (Death receptor 3) (Lymphocyte-associated receptor of death) (LARD) (Protein WSL) (Protein WSL-1)	TNFRSF25 APO3 DDR3 DR3 TNFRSF12 WSL WSL1 UNQ455/PRO779	reviewed
57449	O94827	PKHG5_HUMAN	Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720)	PLEKHG5 KIAA0720	reviewed
57449	A0A804EMX3	A0A804EMX3_HUMAN	Pleckstrin homology and RhoGEF domain containing G5	PLEKHG5	unreviewed
79707	Q5SY16	NOL9_HUMAN	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.78) (Nucleolar protein 9)	NOL9	reviewed
80835	Q7RTX1	TS1R1_HUMAN	Taste receptor type 1 member 1 (G-protein coupled receptor 70)	TAS1R1 GPR70 T1R1 TR1 GM148	reviewed
80835	A8K7J9	A8K7J9_HUMAN	cDNA FLJ77460, highly similar to Homo sapiens taste receptor, type 1, member 1 (TAS1R1), transcript variant 3, mRNA		unreviewed
3104	P10074	ZBT48_HUMAN	Zinc finger and BTB domain-containing protein 48 (Krueppel-related zinc finger protein 3) (hKR3) (Telomere zinc finger-associated protein) (TZAP) (Telomere-binding protein and transcriptional activator ZBTB48) (Zinc finger protein 855)	ZBTB48 HKR3 TZAP ZNF855	reviewed
3104	A8K291	A8K291_HUMAN	Zinc finger and BTB domain-containing protein 48 (Telomere zinc finger-associated protein)		unreviewed
3104	B2R702	B2R702_HUMAN	Zinc finger and BTB domain-containing protein 48 (Telomere zinc finger-associated protein)		unreviewed
9903	Q9UJP4	KLH21_HUMAN	Kelch-like protein 21	KLHL21 KIAA0469	reviewed
148479	Q86YI8	PHF13_HUMAN	PHD finger protein 13 (Survival time-associated PHD finger protein in ovarian cancer 1) (SPOC1)	PHF13	reviewed
148479	A0A158RFV6	A0A158RFV6_HUMAN	PHD finger protein 13	SPOC1	unreviewed
90326	Q8WTV1	THAP3_HUMAN	THAP domain-containing protein 3	THAP3	reviewed
55735	Q9NVH1	DJC11_HUMAN	DnaJ homolog subfamily C member 11	DNAJC11	reviewed
55735	B4DGD5	B4DGD5_HUMAN	cDNA FLJ53979, highly similar to DnaJ homolog subfamily C member 11		unreviewed
23261	Q9Y6Y1	CMTA1_HUMAN	Calmodulin-binding transcription activator 1	CAMTA1 KIAA0833 MSTP023	reviewed
23261	A0A0C4DGL0	A0A0C4DGL0_HUMAN	Calmodulin-binding transcription activator 1	CAMTA1	unreviewed
23261	A0A8V8TPQ2	A0A8V8TPQ2_HUMAN	Calmodulin binding transcription activator 1	CAMTA1	unreviewed
23261	A0A8V8TQ65	A0A8V8TQ65_HUMAN	Calmodulin-binding transcription activator 1	CAMTA1	unreviewed
23261	A0A8V8TQ84	A0A8V8TQ84_HUMAN	Calmodulin binding transcription activator 1	CAMTA1	unreviewed
23261	A0A8V8TQ87	A0A8V8TQ87_HUMAN	Calmodulin-binding transcription activator 1	CAMTA1	unreviewed
23261	A0A8V8TQX9	A0A8V8TQX9_HUMAN	Calmodulin binding transcription activator 1	CAMTA1	unreviewed
23261	G3V297	G3V297_HUMAN	Calmodulin binding transcription activator 1	CAMTA1	unreviewed
9341	Q15836	VAMP3_HUMAN	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	VAMP3 SYB3	reviewed
9341	Q6FGG2	Q6FGG2_HUMAN	VAMP3 protein (Vesicle-associated membrane protein 3 (Cellubrevin))	VAMP3 hCG_21813	unreviewed
8863	P56645	PER3_HUMAN	Period circadian protein homolog 3 (hPER3) (Cell growth-inhibiting gene 13 protein) (Circadian clock protein PERIOD 3)	PER3 GIG13	reviewed
8863	A0A087WV69	A0A087WV69_HUMAN	Period circadian regulator 3	PER3	unreviewed
8863	A2I2N5	A2I2N5_HUMAN	Period 3	PER3	unreviewed
3604	Q07011	TNR9_HUMAN	Tumor necrosis factor receptor superfamily member 9 (4-1BB ligand receptor) (CDw137) (T-cell antigen 4-1BB homolog) (T-cell antigen ILA) (CD antigen CD137)	TNFRSF9 CD137 ILA	reviewed
