From	Entry	Reviewed	Protein names	Gene Names	Length	Entry Name
PRDM16	Q9HAZ2	reviewed	Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.367) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)	PRDM16 KIAA1675 MEL1 PFM13	1276	PRD16_HUMAN
ARHGEF16	Q5VV41	reviewed	Rho guanine nucleotide exchange factor 16 (Ephexin-4)	ARHGEF16 EPHEXIN4 NBR	709	ARHGG_HUMAN
MEGF6	O75095	reviewed	Multiple epidermal growth factor-like domains protein 6 (Multiple EGF-like domains protein 6) (Epidermal growth factor-like protein 3) (EGF-like protein 3)	MEGF6 EGFL3 KIAA0815	1541	MEGF6_HUMAN
TPRG1L	Q5T0D9	reviewed	Tumor protein p63-regulated gene 1-like protein (Mossy fiber terminal-associated vertebrate-specific presynaptic protein) (Protein FAM79A)	TPRG1L FAM79A MOVER	272	TPRGL_HUMAN
WRAP73	Q9P2S5	reviewed	WD repeat-containing protein WRAP73 (WD repeat-containing protein 8) (WD repeat-containing protein antisense to TP73 gene)	WRAP73 WDR8	460	WRP73_HUMAN
TP73	O15350	reviewed	Tumor protein p73 (p53-like transcription factor) (p53-related protein)	TP73 P73	636	P73_HUMAN
CCDC27	Q2M243	reviewed	Coiled-coil domain-containing protein 27	CCDC27	656	CCD27_HUMAN
LRRC47	Q8N1G4	reviewed	Leucine-rich repeat-containing protein 47	LRRC47 KIAA1185	583	LRC47_HUMAN
CEP104	O60308	reviewed	Centrosomal protein of 104 kDa (Cep104)	CEP104 KIAA0562	925	CE104_HUMAN
DFFB	O76075	reviewed	DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (Caspase-activated nuclease) (CPAN) (DNA fragmentation factor 40 kDa subunit) (DFF-40)	DFFB CAD DFF2 DFF40	338	DFFB_HUMAN
C1orf174	Q8IYL3	reviewed	UPF0688 protein C1orf174	C1orf174	243	CA174_HUMAN
AJAP1	Q9UKB5	reviewed	Adherens junction-associated protein 1 (Membrane protein shrew-1)	AJAP1 MOT8 SHREW1	411	AJAP1_HUMAN
NPHP4	O75161	reviewed	Nephrocystin-4 (Nephroretinin)	NPHP4 KIAA0673	1426	NPHP4_HUMAN
KCNAB2	Q13303	reviewed	Voltage-gated potassium channel subunit beta-2 (EC 1.1.1.-) (K(+) channel subunit beta-2) (Kv-beta-2) (hKvbeta2)	KCNAB2 KCNA2B KCNK2	367	KCAB2_HUMAN
CHD5	O00258	reviewed	Guided entry of tail-anchored proteins factor 1 (Congenital heart disease 5 protein) (Tail-anchored protein insertion receptor WRB) (Tryptophan-rich basic protein)	GET1 CHD5 WRB	174	GET1_HUMAN
CHD5	Q8TD26	reviewed	Chromodomain-helicase-DNA-binding protein 6 (CHD-6) (EC 3.6.4.-) (ATP-dependent helicase CHD6) (Radiation-induced gene B protein)	CHD6 CHD5 KIAA1335 RIGB	2715	CHD6_HUMAN
CHD5	Q8TDI0	reviewed	Chromodomain-helicase-DNA-binding protein 5 (CHD-5) (EC 3.6.4.-) (ATP-dependent helicase CHD5)	CHD5 KIAA0444	1954	CHD5_HUMAN
RPL22	P35268	reviewed	Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15)	RPL22	128	RL22_HUMAN
RNF207	Q6ZRF8	reviewed	RING finger protein 207	RNF207 C1orf188	634	RN207_HUMAN
ICMT	O60725	reviewed	Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100) (Isoprenylcysteine carboxylmethyltransferase) (Prenylated protein carboxyl methyltransferase) (PPMT) (Prenylcysteine carboxyl methyltransferase) (pcCMT)	ICMT PCCMT	284	ICMT_HUMAN
HES3	Q5TGS1	reviewed	Transcription factor HES-3 (Class B basic helix-loop-helix protein 43) (bHLHb43) (Hairy and enhancer of split 3)	HES3 BHLHB43	186	HES3_HUMAN
GPR153	Q6NV75	reviewed	Probable G-protein coupled receptor 153 (G-protein coupled receptor PGR1)	GPR153 PGR1	609	GP153_HUMAN
ACOT7	O00154	reviewed	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	380	BACH_HUMAN
ESPN	B1AK53	reviewed	Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein)	ESPN DFNB36 LP2654	854	ESPN_HUMAN
TNFRSF25	Q93038	reviewed	Tumor necrosis factor receptor superfamily member 25 (Apo-3) (Apoptosis-inducing receptor AIR) (Apoptosis-mediating receptor DR3) (Apoptosis-mediating receptor TRAMP) (Death receptor 3) (Lymphocyte-associated receptor of death) (LARD) (Protein WSL) (Protein WSL-1)	TNFRSF25 APO3 DDR3 DR3 TNFRSF12 WSL WSL1 UNQ455/PRO779	417	TNR25_HUMAN
PLEKHG5	O94827	reviewed	Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720)	PLEKHG5 KIAA0720	1006	PKHG5_HUMAN
NOL9	Q5SY16	reviewed	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.78) (Nucleolar protein 9)	NOL9	702	NOL9_HUMAN
TAS1R1	Q7RTX1	reviewed	Taste receptor type 1 member 1 (G-protein coupled receptor 70)	TAS1R1 GPR70 T1R1 TR1 GM148	841	TS1R1_HUMAN
ZBTB48	P10074	reviewed	Zinc finger and BTB domain-containing protein 48 (Krueppel-related zinc finger protein 3) (hKR3) (Telomere zinc finger-associated protein) (TZAP) (Telomere-binding protein and transcriptional activator ZBTB48) (Zinc finger protein 855)	ZBTB48 HKR3 TZAP ZNF855	688	ZBT48_HUMAN
KLHL21	Q9UJP4	reviewed	Kelch-like protein 21	KLHL21 KIAA0469	597	KLH21_HUMAN
PHF13	Q86YI8	reviewed	PHD finger protein 13 (Survival time-associated PHD finger protein in ovarian cancer 1) (SPOC1)	PHF13	300	PHF13_HUMAN
THAP3	Q8WTV1	reviewed	THAP domain-containing protein 3	THAP3	239	THAP3_HUMAN
DNAJC11	Q9NVH1	reviewed	DnaJ homolog subfamily C member 11	DNAJC11	559	DJC11_HUMAN
CAMTA1	Q9Y6Y1	reviewed	Calmodulin-binding transcription activator 1	CAMTA1 KIAA0833 MSTP023	1673	CMTA1_HUMAN
VAMP3	Q15836	reviewed	Vesicle-associated membrane protein 3 (VAMP-3) (Cellubrevin) (CEB) (Synaptobrevin-3)	VAMP3 SYB3	100	VAMP3_HUMAN
PER3	P56645	reviewed	Period circadian protein homolog 3 (hPER3) (Cell growth-inhibiting gene 13 protein) (Circadian clock protein PERIOD 3)	PER3 GIG13	1201	PER3_HUMAN
TNFRSF9	Q07011	reviewed	Tumor necrosis factor receptor superfamily member 9 (4-1BB ligand receptor) (CDw137) (T-cell antigen 4-1BB homolog) (T-cell antigen ILA) (CD antigen CD137)	TNFRSF9 CD137 ILA	255	TNR9_HUMAN
PARK7	Q99497	reviewed	Parkinson disease protein 7 (Maillard deglycase) (Oncogene DJ1) (Parkinsonism-associated deglycase) (Protein DJ-1) (DJ-1) (Protein/nucleic acid deglycase DJ-1) (EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124)	PARK7	189	PARK7_HUMAN
ERRFI1	Q9UJM3	reviewed	ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein) (MIG-6)	ERRFI1 MIG6	462	ERRFI_HUMAN
SLC45A1	Q9Y2W3	reviewed	Proton-associated sugar transporter A (PAST-A) (Deleted in neuroblastoma 5 protein) (DNb-5) (Solute carrier family 45 member 1)	SLC45A1 DNB5	748	S45A1_HUMAN
RERE	Q9P2R6	reviewed	Arginine-glutamic acid dipeptide repeats protein (Atrophin-1-like protein) (Atrophin-1-related protein)	RERE ARG ARP ATN1L KIAA0458	1566	RERE_HUMAN
ENO1	P06733	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	434	ENOA_HUMAN
CA6	P23280	reviewed	Carbonic anhydrase 6 (EC 4.2.1.1) (Carbonate dehydratase VI) (Carbonic anhydrase VI) (CA-VI) (Salivary carbonic anhydrase) (Secreted carbonic anhydrase)	CA6	308	CAH6_HUMAN
SLC2A7	Q6PXP3	reviewed	Solute carrier family 2, facilitated glucose transporter member 7 (Glucose transporter type 7) (GLUT-7) (hGLUT7)	SLC2A7 GLUT7	512	GTR7_HUMAN
SLC2A5	P22732	reviewed	Solute carrier family 2, facilitated glucose transporter member 5 (Fructose transporter) (Glucose transporter type 5, small intestine) (GLUT-5)	SLC2A5 GLUT5	501	GTR5_HUMAN
GPR157	Q5UAW9	reviewed	G-protein coupled receptor 157	GPR157	335	GP157_HUMAN
H6PD	O95479	reviewed	GDH/6PGL endoplasmic bifunctional protein [Includes: Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase) (GDH) (EC 1.1.1.47) (Glucose-6-phosphate dehydrogenase) (EC 1.1.1.363); 6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)]	H6PD GDH	791	G6PE_HUMAN
SPSB1	Q96BD6	reviewed	SPRY domain-containing SOCS box protein 1 (SSB-1)	SPSB1 SSB1	273	SPSB1_HUMAN
SLC25A33	Q9BSK2	reviewed	Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1)	SLC25A33	321	S2533_HUMAN
TMEM201	Q5SNT2	reviewed	Transmembrane protein 201 (Spindle-associated membrane protein 1)	TMEM201 NET5 SAMP1	666	TM201_HUMAN
PIK3CD	O00329	reviewed	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	PIK3CD	1044	PK3CD_HUMAN
CLSTN1	O94985	reviewed	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	CLSTN1 CS1 KIAA0911	981	CSTN1_HUMAN
CTNNBIP1	Q9NSA3	reviewed	Beta-catenin-interacting protein 1 (Inhibitor of beta-catenin and Tcf-4)	CTNNBIP1 ICAT	81	CNBP1_HUMAN
LZIC	Q8WZA0	reviewed	Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein)	LZIC	190	LZIC_HUMAN
NMNAT1	Q9HAN9	reviewed	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 (NMN/NaMN adenylyltransferase 1) (EC 2.7.7.1) (EC 2.7.7.18) (Nicotinamide-nucleotide adenylyltransferase 1) (NMN adenylyltransferase 1) (Nicotinate-nucleotide adenylyltransferase 1) (NaMN adenylyltransferase 1)	NMNAT1 NMNAT	279	NMNA1_HUMAN
RBP7	Q96R05	reviewed	Retinoid-binding protein 7 (Cellular retinoic acid-binding protein 4) (CRABP4) (CRBP4) (Cellular retinoic acid-binding protein IV) (CRABP-IV)	RBP7	134	RET7_HUMAN
UBE4B	O95155	reviewed	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	UBE4B HDNB1 KIAA0684 UFD2	1302	UBE4B_HUMAN
KIF1B	O60333	reviewed	Kinesin-like protein KIF1B (Klp) (EC 5.6.1.3)	KIF1B KIAA0591 KIAA1448	1816	KIF1B_HUMAN
PGD	P52209	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	483	6PGD_HUMAN
CORT	O00230	reviewed	Cortistatin [Cleaved into: Cortistatin-29; Cortistatin-17]	CORT UNQ307/PRO350	105	CORT_HUMAN
DFFA	O00273	reviewed	DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD)	DFFA DFF1 DFF45 H13	331	DFFA_HUMAN
PEX14	O75381	reviewed	Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14)	PEX14	377	PEX14_HUMAN
CASZ1	Q86V15	reviewed	Zinc finger protein castor homolog 1 (Castor-related protein) (Putative survival-related protein) (Zinc finger protein 693)	CASZ1 CST SRG ZNF693	1759	CASZ1_HUMAN
C1orf127	Q8N9H9	reviewed	Ciliated left-right organizer ZP-N domains-containing protein (Ciliated left-right organizer protein containing ZP-N domains)	CIROZ C1orf127	823	CIROZ_HUMAN
TARDBP	Q13148	reviewed	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	414	TADBP_HUMAN
MASP2	O00187	reviewed	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	686	MASP2_HUMAN
SRM	P19623	reviewed	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)	SRM SPS1 SRML1	302	SPEE_HUMAN
EXOSC10	Q01780	reviewed	Exosome complex component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2)	EXOSC10 PMSCL PMSCL2 RRP6	885	EXOSX_HUMAN
MTOR	P42345	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1) (Tyrosine-protein kinase mTOR) (EC 2.7.10.2)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	2549	MTOR_HUMAN
ANGPTL7	O43827	reviewed	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	ANGPTL7 CDT6 UNQ313/PRO356	346	ANGL7_HUMAN
UBIAD1	Q9Y5Z9	reviewed	UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (EC 2.5.1.39) (Transitional epithelial response protein 1)	UBIAD1 TERE1	338	UBIA1_HUMAN
DISP3	Q9P2K9	reviewed	Protein dispatched homolog 3 (Patched domain-containing protein 2)	DISP3 KIAA1337 PTCHD2	1392	DISP3_HUMAN
