Species	Symbol	Ensembl	Family	Protein	Entrez_ID	Uniprot	Entry
Homo_sapiens	ZNF600	ENSG00000189190	zf-C2H2	ENSP00000509267.1;ENSP00000509375.1;ENSP00000497540.1;ENSP00000510246.1;ENSP00000344791.2;	162966	Q6ZNG1	ZN600_HUMAN
Homo_sapiens	GZF1	ENSG00000125812	ZBTB	ENSP00000338290.5;ENSP00000338290.5;ENSP00000366250.2;	64412	Q9H116	GZF1_HUMAN
Homo_sapiens	ZNF8	ENSG00000278129	zf-C2H2	ENSP00000477716.1;	NA	P17098	ZNF8_HUMAN
Homo_sapiens	HOXA1	ENSG00000105991	Homeobox	ENSP00000494260.2;	3198	P49639	HXA1_HUMAN
Homo_sapiens	ZNF713	ENSG00000178665	zf-C2H2	ENSP00000487818.1;ENSP00000416662.3;	349075	Q8N859	ZN713_HUMAN
Homo_sapiens	LCOR	ENSG00000196233	HTH	ENSP00000501887.1;ENSP00000348298.2;ENSP00000501639.1;ENSP00000360144.3;ENSP00000360138.3;ENSP00000502316.1;ENSP00000501560.1;ENSP00000443431.1;ENSP00000502416.1;ENSP00000502633.1;ENSP00000502138.1;	84458	Q96JN0	LCOR_HUMAN
Homo_sapiens	E2F3	ENSG00000112242	E2F	ENSP00000262904.4;ENSP00000443418.1;	1871	O00716	E2F3_HUMAN
Homo_sapiens	IRF4	ENSG00000137265	IRF	ENSP00000436094.1;ENSP00000370343.4;	3662	Q15306	IRF4_HUMAN
Homo_sapiens	ZNF17	ENSG00000186272	zf-C2H2	ENSP00000471905.1;ENSP00000302455.7;	7565	P17021	ZNF17_HUMAN
Homo_sapiens	EMX1	ENSG00000135638	Homeobox	ENSP00000446992.1;ENSP00000258106.6;	2016	Q04741	EMX1_HUMAN
Homo_sapiens	ZNF583	ENSG00000198440	zf-C2H2	ENSP00000388502.2;ENSP00000291598.7;	147949	Q96ND8	ZN583_HUMAN
Homo_sapiens	PRRX2	ENSG00000167157	Homeobox	ENSP00000361547.4;	NA	Q99811	PRRX2_HUMAN
Homo_sapiens	GCM1	ENSG00000137270	GCM	ENSP00000259803.7;	8521	Q9NP62	GCM1_HUMAN
Homo_sapiens	MAFK	ENSG00000198517	TF_bZIP	ENSP00000386009.1;ENSP00000344903.4;ENSP00000385437.2;	7975	O60675	MAFK_HUMAN
Homo_sapiens	TSHZ3	ENSG00000121297	zf-C2H2	ENSP00000240587.4;	57616	Q63HK5	TSH3_HUMAN
Homo_sapiens	MZF1	ENSG00000099326	zf-C2H2	ENSP00000469493.1;ENSP00000215057.1;	7593	P28698	MZF1_HUMAN
Homo_sapiens	ZNF205	ENSG00000122386	zf-C2H2	ENSP00000460890.1;ENSP00000219091.4;ENSP00000480401.1;ENSP00000371627.3;	7755	O95201	RHIT_HUMAN
Homo_sapiens	ZNF672	ENSG00000171161	zf-C2H2	ENSP00000421915.1;ENSP00000426199.1;ENSP00000427021.1;	79894	Q499Z4	ZN672_HUMAN
Homo_sapiens	PLAGL1	ENSG00000118495	zf-C2H2	ENSP00000501459.1;ENSP00000496979.1;ENSP00000486355.1;ENSP00000346810.2;ENSP00000485907.1;ENSP00000487447.1;ENSP00000395960.2;ENSP00000356543.1;ENSP00000486752.1;ENSP00000486632.1;ENSP00000496815.1;ENSP00000353734.2;ENSP00000496874.1;ENSP00000400929.1;ENSP00000356544.1;ENSP00000486763.1;ENSP00000497363.1;ENSP00000400060.1;ENSP00000392418.1;ENSP00000497492.1;	5325	Q9UM63	PLAL1_HUMAN
Homo_sapiens	ZNF578	ENSG00000258405	zf-C2H2	ENSP00000459216.1;	147660	Q96N58	ZN578_HUMAN
Homo_sapiens	ZNF665	ENSG00000197497	zf-C2H2	ENSP00000498600.1;ENSP00000469154.1;ENSP00000379702.2;	79788	Q9H7R5	ZN665_HUMAN
Homo_sapiens	E2F1	ENSG00000101412	E2F	ENSP00000345571.5;	1869	Q01094	E2F1_HUMAN
Homo_sapiens	ZBTB42	ENSG00000179627	ZBTB	ENSP00000409107.2;ENSP00000409107.2;ENSP00000450673.1;ENSP00000450673.1;	100128927	B2RXF5	ZBT42_HUMAN
Homo_sapiens	ZNF736	ENSG00000234444	zf-C2H2	ENSP00000400852.1;ENSP00000347210.4;	728927	B4DX44	ZN736_HUMAN
Homo_sapiens	ZNF705A	ENSG00000196946	zf-C2H2	ENSP00000352233.4;ENSP00000379816.3;ENSP00000481663.1;	440077	Q6ZN79	Z705A_HUMAN
Homo_sapiens	HOXA10	ENSG00000253293	Homeobox	ENSP00000379633.4;ENSP00000283921.4;	3206	P31260	HXA10_HUMAN
Homo_sapiens	BACH2	ENSG00000112182	TF_bZIP	ENSP00000257749.4;ENSP00000397668.1;ENSP00000345642.3;ENSP00000384145.2;ENSP00000437473.1;	60468	Q9BYV9	BACH2_HUMAN
Homo_sapiens	ZNF770	ENSG00000198146	zf-C2H2	ENSP00000348673.4;ENSP00000453474.1;	54989	Q6IQ21	ZN770_HUMAN
Homo_sapiens	HEY1	ENSG00000164683	bHLH	ENSP00000429705.1;ENSP00000338272.5;ENSP00000501370.1;ENSP00000346761.3;ENSP00000501342.1;ENSP00000501320.1;ENSP00000501529.1;	23462	Q9Y5J3	HEY1_HUMAN
Homo_sapiens	ZNF446	ENSG00000083838	zf-C2H2	ENSP00000478778.1;ENSP00000472802.1;ENSP00000472219.1;	55663	Q9NWS9	ZN446_HUMAN
Homo_sapiens	ZNF571	ENSG00000180479	zf-C2H2	ENSP00000467572.1;ENSP00000392638.1;ENSP00000351594.3;ENSP00000333660.2;	51276	Q7Z3V5	ZN571_HUMAN
Homo_sapiens	MYF5	ENSG00000111049	bHLH	ENSP00000228644.3;	NA	P13349	MYF5_HUMAN
Homo_sapiens	POU6F2	ENSG00000106536	Pou	ENSP00000430514.3;ENSP00000384004.1;	11281	P78424	PO6F2_HUMAN
Homo_sapiens	ZMIZ2	ENSG00000122515	zf-MIZ	ENSP00000265346.7;ENSP00000409648.1;ENSP00000396601.1;ENSP00000311778.4;ENSP00000414723.1;	83637	Q8NF64	ZMIZ2_HUMAN
Homo_sapiens	NFILZ	ENSG00000268480	TF_bZIP	ENSP00000500604.1;ENSP00000509575.1;ENSP00000500121.1;ENSP00000499970.1;	105372267	A0A5F9ZHS7	NFILZ_HUMAN
Homo_sapiens	ZNF415	ENSG00000170954	zf-C2H2	ENSP00000395055.2;ENSP00000243643.3;ENSP00000439435.1;ENSP00000472911.1;	55786	Q09FC8	ZN415_HUMAN
Homo_sapiens	ZNF776	ENSG00000152443	zf-C2H2	ENSP00000321812.5;	284309	Q68DI1	ZN776_HUMAN
Homo_sapiens	KLF17	ENSG00000171872	zf-C2H2	ENSP00000361373.3;	128209	Q5JT82	KLF17_HUMAN
Homo_sapiens	TCF15	ENSG00000125878	bHLH	ENSP00000246080.3;	NA	Q12870	TCF15_HUMAN
Homo_sapiens	ZNF549	ENSG00000121406	zf-C2H2	ENSP00000240719.2;ENSP00000365407.2;	256051	Q6P9A3	ZN549_HUMAN
Homo_sapiens	MESP1	ENSG00000166823	bHLH	ENSP00000300057.4;	55897	Q9BRJ9	MESP1_HUMAN
Homo_sapiens	MAEL	ENSG00000143194	HMG	ENSP00000356846.4;	84944	Q96JY0	MAEL_HUMAN
Homo_sapiens	JAZF1	ENSG00000153814	zf-C2H2	ENSP00000283928.5;	221895	Q86VZ6	JAZF1_HUMAN
Homo_sapiens	PAX6	ENSG00000007372	PAX	ENSP00000492024.1;ENSP00000491210.1;ENSP00000492822.1;ENSP00000491280.1;ENSP00000368406.3;ENSP00000491267.1;ENSP00000492808.1;ENSP00000492397.1;ENSP00000491492.1;ENSP00000404100.1;ENSP00000492437.1;ENSP00000491295.1;ENSP00000492756.1;ENSP00000491365.1;ENSP00000404356.2;ENSP00000492129.1;ENSP00000492587.1;ENSP00000491948.1;ENSP00000491872.1;ENSP00000492181.1;ENSP00000397384.2;ENSP00000491065.1;ENSP00000492769.1;ENSP00000492476.1;ENSP00000492316.1;ENSP00000491779.1;ENSP00000368427.2;ENSP00000492177.1;ENSP00000492658.1;ENSP00000491679.1;ENSP00000491944.1;ENSP00000368418.6;ENSP00000492081.1;ENSP00000492111.1;ENSP00000490971.1;ENSP00000368403.2;ENSP00000490963.1;ENSP00000495109.1;ENSP00000388132.3;ENSP00000241001.8;ENSP00000368410.5;ENSP00000368424.2;ENSP00000480026.1;ENSP00000491862.1;ENSP00000491324.1;ENSP00000368401.2;ENSP00000492409.1;ENSP00000492802.1;ENSP00000491517.1;ENSP00000491214.1;ENSP00000431585.2;ENSP00000492166.1;ENSP00000492205.1;ENSP00000491229.1;ENSP00000492315.2;ENSP00000491904.1;	5080	P26367	PAX6_HUMAN
Homo_sapiens	ZNF575	ENSG00000176472	zf-C2H2	ENSP00000315870.4;ENSP00000413956.2;ENSP00000471083.2;ENSP00000472578.1;	284346	Q86XF7	ZN575_HUMAN
Homo_sapiens	ZNF594	ENSG00000180626	zf-C2H2	ENSP00000382513.4;ENSP00000461032.1;	84622	Q96JF6	ZN594_HUMAN
Homo_sapiens	IRF6	ENSG00000117595	IRF	ENSP00000496669.1;ENSP00000403855.1;ENSP00000355988.3;	3664	O14896	IRF6_HUMAN
Homo_sapiens	MSX1	ENSG00000163132	Homeobox	ENSP00000372170.4;	4487	P28360	MSX1_HUMAN
Homo_sapiens	ZNF429	ENSG00000197013	zf-C2H2	ENSP00000351280.3;	353088	Q86V71	ZN429_HUMAN
Homo_sapiens	ZNF718	ENSG00000250312	zf-C2H2	ENSP00000480556.1;ENSP00000476435.1;	255403	Q3SXZ3	ZN718_HUMAN
Homo_sapiens	ZNF107	ENSG00000196247	zf-C2H2	ENSP00000343443.3;ENSP00000400037.1;ENSP00000481898.1;ENSP00000483720.1;	51427	Q9UII5	ZN107_HUMAN
Homo_sapiens	SATB1	ENSG00000182568	CUT	ENSP00000399708.2;ENSP00000399518.1;ENSP00000341024.5;	6304	Q01826	SATB1_HUMAN
Homo_sapiens	ADNP	ENSG00000101126	Homeobox	ENSP00000483881.1;ENSP00000495540.1;ENSP00000379346.3;ENSP00000360662.2;ENSP00000501294.1;ENSP00000342905.3;ENSP00000379349.2;	23394	Q9H2P0	ADNP_HUMAN
Homo_sapiens	NA	ENSG00000269825	zf-C2H2	ENSP00000506273.1;	NA	NA	NA
Homo_sapiens	ZSCAN26	ENSG00000197062	zf-C2H2	ENSP00000479314.1;ENSP00000484931.1;ENSP00000481707.1;ENSP00000484018.1;ENSP00000478769.1;ENSP00000485228.1;	7741	Q16670	ZSC26_HUMAN
Homo_sapiens	NFATC3	ENSG00000072736	RHD	ENSP00000460533.1;ENSP00000300659.5;ENSP00000331324.4;ENSP00000456379.1;ENSP00000264008.6;ENSP00000456120.1;	4775	Q12968	NFAC3_HUMAN
Homo_sapiens	MITF	ENSG00000187098	bHLH	ENSP00000509358.1;ENSP00000324443.5;ENSP00000377880.3;ENSP00000324246.6;ENSP00000510225.1;ENSP00000494105.1;ENSP00000391803.3;ENSP00000295600.8;ENSP00000418845.1;ENSP00000398639.1;ENSP00000509845.1;ENSP00000435909.1;	4286	O75030	MITF_HUMAN
Homo_sapiens	KLF6	ENSG00000067082	zf-C2H2	ENSP00000419923.1;	1316	Q99612	KLF6_HUMAN
Homo_sapiens	ETV4	ENSG00000175832	ETS	ENSP00000465718.1;ENSP00000377273.1;ENSP00000443846.1;ENSP00000441749.1;ENSP00000321835.4;ENSP00000468636.1;ENSP00000440023.1;	2118	P43268	ETV4_HUMAN
Homo_sapiens	CREB3	ENSG00000107175	TF_bZIP	ENSP00000342136.2;	NA	O43889	CREB3_HUMAN
Homo_sapiens	TBR1	ENSG00000136535	T-box	ENSP00000374205.3;ENSP00000387023.1;ENSP00000393934.1;	NA	Q16650	TBR1_HUMAN
Homo_sapiens	MXD1	ENSG00000059728	bHLH	ENSP00000386523.2;ENSP00000410672.1;ENSP00000443935.1;ENSP00000264444.2;	4084	Q05195	MAD1_HUMAN
Homo_sapiens	ZSCAN25	ENSG00000197037	zf-C2H2	ENSP00000377708.2;ENSP00000334800.3;ENSP00000262941.7;	221785	Q6NSZ9	ZSC25_HUMAN
Homo_sapiens	PRDM9	ENSG00000164256	zf-C2H2	ENSP00000296682.4;	56979	Q9NQV7	PRDM9_HUMAN
Homo_sapiens	ZNF652	ENSG00000198740	zf-C2H2	ENSP00000416305.2;ENSP00000424848.1;ENSP00000354686.2;	22834	Q9Y2D9	ZN652_HUMAN
Homo_sapiens	ZNF654	ENSG00000175105	zf-C2H2	ENSP00000490842.1;	55279	Q8IZM8	ZN654_HUMAN
Homo_sapiens	TBX6	ENSG00000149922	T-box	ENSP00000279386.2;ENSP00000461223.1;ENSP00000378650.2;ENSP00000460425.1;	6911	O95947	TBX6_HUMAN
Homo_sapiens	EBF3	ENSG00000108001	COE	ENSP00000347463.4;ENSP00000387543.2;ENSP00000357637.3;	253738	Q9H4W6	COE3_HUMAN
Homo_sapiens	ZNF84	ENSG00000198040	zf-C2H2	ENSP00000331465.7;ENSP00000445820.1;ENSP00000376133.2;ENSP00000445549.1;ENSP00000437949.1;	7637	P51523	ZNF84_HUMAN
Homo_sapiens	ATOH8	ENSG00000168874	bHLH	ENSP00000304676.3;	84913	Q96SQ7	ATOH8_HUMAN
Homo_sapiens	FOXD4L4	ENSG00000184659	Fork_head	ENSP00000366630.1;	349334	Q8WXT5	FX4L4_HUMAN
Homo_sapiens	KLF13	ENSG00000169926	zf-C2H2	ENSP00000302456.3;ENSP00000452609.1;	51621	Q9Y2Y9	KLF13_HUMAN
Homo_sapiens	CCDC169-SOHLH2	ENSG00000250709	bHLH	ENSP00000421868.1;	100526761	NA	NA
Homo_sapiens	ZNF469	ENSG00000225614	zf-C2H2	ENSP00000456500.2;ENSP00000402343.1;	84627	Q96JG9	ZN469_HUMAN
Homo_sapiens	ZBTB22	ENSG00000236104	ZBTB	ENSP00000404403.1;ENSP00000404403.1;ENSP00000407545.2;	9278	O15209	ZBT22_HUMAN
Homo_sapiens	PAX7	ENSG00000009709	PAX	ENSP00000364524.3;ENSP00000383502.3;ENSP00000403389.2;	5081	P23759	PAX7_HUMAN
Homo_sapiens	ZNF547	ENSG00000152433	zf-C2H2	ENSP00000282282.3;	284306	Q8IVP9	ZN547_HUMAN
Homo_sapiens	ZNF626	ENSG00000188171	zf-C2H2	ENSP00000469958.1;ENSP00000469566.1;	199777	Q68DY1	ZN626_HUMAN
Homo_sapiens	TBX22	ENSG00000122145	T-box	ENSP00000362393.3;ENSP00000362390.5;ENSP00000487527.1;	50945	Q9Y458	TBX22_HUMAN
Homo_sapiens	ZNF563	ENSG00000188868	zf-C2H2	ENSP00000471960.1;ENSP00000469879.1;ENSP00000293725.5;	147837	Q8TA94	ZN563_HUMAN
